Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
HL,4.02,Call,6.00,09/18/20,70,0.12,0.13,0.14,0.13,607,2212,0.27,84.65%,07/10/20
IVR,3.31,Call,4.00,08/21/20,42,0.15,0.18,0.20,0.16,1023,2593,0.39,84.60%,07/10/20
NET,40.08,Call,41.00,08/21/20,42,4.20,4.25,4.30,4.20,615,195,3.15,84.49%,07/10/20
TLRY,8.01,Call,7.00,08/07/20,28,1.18,1.39,1.60,1.32,895,1862,0.48,84.34%,07/10/20
DAL,27.09,Call,40.00,09/18/20,70,0.81,0.9,0.98,0.91,3269,12000,0.27,84.28%,07/10/20
TLRY,8.01,Call,8.00,08/21/20,42,0.92,0.93,0.94,0.92,742,5999,0.12,84.25%,07/10/20
NOK,4.12,Call,4.50,07/31/20,21,0.18,0.19,0.19,0.19,1326,5460,0.24,84.17%,07/10/20
EXK,2.61,Call,2.50,08/21/20,42,0.30,0.35,0.40,0.35,3197,10609,0.3,84.10%,07/10/20
PLUG,9.3,Call,10.00,01/21/22,560,3.55,3.6,3.65,3.55,720,4279,0.17,84.07%,07/10/20
TLRY,8.01,Call,9.00,09/18/20,70,0.78,0.8,0.83,0.81,884,11537,0.08,83.70%,07/10/20
GPS,11.65,Call,13.50,07/31/20,21,0.00,0.2,0.40,0.34,548,531,1.03,83.64%,07/10/20
NET,40.08,Put,36.00,08/21/20,42,2.15,2.68,3.20,2.53,555,139,3.99,83.64%,07/10/20
ERI,40.15,Call,50.00,01/15/21,189,6.25,6.88,7.50,6.50,1010,2943,0.34,83.64%,07/10/20
GPS,11.65,Call,12.00,09/18/20,70,1.57,1.62,1.66,1.56,558,959,0.58,83.59%,07/10/20
CLDR,12.4,Call,15.00,08/21/20,42,0.58,0.59,0.59,0.58,562,14178,0.04,83.49%,07/10/20
ET,6.44,Put,5.00,08/21/20,42,0.15,0.16,0.17,0.16,568,641,0.89,83.38%,07/10/20
MGM,16.2,Call,20.00,09/18/20,70,1.12,1.14,1.16,1.15,2060,12511,0.16,83.31%,07/10/20
DAL,27.09,Call,36.00,09/18/20,70,1.04,1.27,1.50,1.42,2938,1440,2.04,83.27%,07/10/20
X,7.36,Call,10.00,09/18/20,70,0.33,0.37,0.41,0.35,1723,840,2.05,83.23%,07/10/20
PTON,68.47,Call,75.00,08/21/20,42,4.75,5.13,5.50,5.23,567,2271,0.25,83.15%,07/10/20
IVR,3.31,Call,4.00,10/16/20,98,0.30,0.32,0.35,0.34,2740,44718,0.06,83.12%,07/10/20
UAL,32.67,Call,44.00,12/18/20,161,4.30,5.1,5.90,3.85,583,342,1.7,82.89%,07/10/20
SNAP,25.53,Put,17.00,08/21/20,42,0.18,0.19,0.19,0.19,1579,2402,0.66,82.89%,07/10/20
DAL,27.09,Call,39.00,09/18/20,70,0.88,0.94,1.00,0.97,697,5044,0.14,82.67%,07/10/20
AMD,55.88,Call,95.00,08/21/20,42,0.22,0.23,0.23,0.23,1435,1869,0.77,82.56%,07/10/20
WPX,5.44,Put,4.00,01/15/21,189,0.50,0.53,0.55,0.51,11184,10107,1.11,82.55%,07/10/20
DAL,27.09,Call,38.00,09/18/20,70,1.00,1.1,1.20,1.09,4746,2763,1.72,82.51%,07/10/20
PTON,68.47,Call,70.00,08/21/20,42,7.00,7.18,7.35,7.00,903,2040,0.44,82.41%,07/10/20
SPG,63.98,Call,135.00,10/16/20,98,0.25,0.7,1.14,0.64,507,1224,0.41,82.29%,07/10/20
LYV,46.44,Put,25.00,01/15/21,189,1.35,1.63,1.90,1.45,1437,247,5.82,82.14%,07/10/20
CCL,16.16,Call,20.00,01/21/22,560,4.90,5.13,5.35,5.35,553,11670,0.05,82.13%,07/10/20
AER,28.71,Put,25.00,08/21/20,42,1.35,1.43,1.50,1.46,2166,3100,0.7,82.04%,07/10/20
PTON,68.47,Put,40.00,10/16/20,98,1.00,1.04,1.08,1.05,5147,7348,0.7,81.95%,07/10/20
ERJ,6.06,Call,10.00,01/15/21,189,0.40,0.53,0.65,0.50,601,3731,0.16,81.87%,07/10/20
MGM,16.2,Call,19.00,09/18/20,70,1.24,1.36,1.47,1.35,807,2042,0.4,81.61%,07/10/20
DAL,27.09,Call,35.00,09/18/20,70,1.45,1.52,1.58,1.53,671,13747,0.05,81.59%,07/10/20
UAL,32.67,Put,33.00,01/21/22,560,11.95,12.5,13.05,12.40,1000,154,6.49,81.59%,07/10/20
INSG,11.24,Call,10.00,08/21/20,42,1.90,1.97,2.05,1.90,622,2592,0.24,81.58%,07/10/20
GPRO,4.9,Call,10.00,01/15/21,189,0.18,0.22,0.25,0.22,1567,4585,0.34,81.41%,07/10/20
LYV,46.44,Put,35.00,08/21/20,42,0.85,0.91,0.96,0.87,2463,359,6.86,81.40%,07/10/20
SPG,63.98,Put,50.00,08/21/20,42,1.29,1.52,1.75,1.55,3203,6169,0.52,81.15%,07/10/20
CCL,16.16,Call,5.00,01/15/21,189,10.90,11.05,11.20,10.85,812,1722,0.47,81.09%,07/10/20
DHT,5.44,Call,13.00,12/18/20,161,0.00,0.05,0.10,0.10,500,2173,0.23,80.99%,07/10/20
X,7.36,Call,11.00,10/16/20,98,0.30,0.36,0.42,0.34,543,3991,0.14,80.90%,07/10/20
PTON,68.47,Call,65.00,08/21/20,42,9.05,9.28,9.50,9.20,614,1546,0.4,80.90%,07/10/20
X,7.36,Call,8.00,08/21/20,42,0.56,0.6,0.64,0.56,1729,5228,0.33,80.86%,07/10/20
SNAP,25.53,Call,35.00,08/14/20,35,0.41,0.45,0.50,0.37,1654,589,2.81,80.71%,07/10/20
COF,60.8,Put,50.00,07/31/20,21,0.75,0.84,0.93,0.86,1517,595,2.55,80.62%,07/10/20
SPG,63.98,Put,65.00,08/21/20,42,7.45,7.98,8.50,7.45,623,3532,0.18,80.29%,07/10/20
DT,43.38,Call,45.00,08/21/20,42,3.90,4.1,4.30,4.04,649,770,0.84,80.17%,07/10/20
APHA,4.3,Call,5.00,01/15/21,189,0.70,0.73,0.75,0.75,635,47204,0.01,80.14%,07/10/20
CLF,5.74,Call,6.00,01/15/21,189,1.16,1.21,1.25,1.22,2203,23419,0.09,80.10%,07/10/20
ROKU,153.05,Call,180.00,07/31/20,21,3.50,3.58,3.65,3.55,1725,253,6.82,80.03%,07/10/20
WYNN,74.13,Call,80.00,08/21/20,42,5.25,5.73,6.20,5.72,527,823,0.64,79.72%,07/10/20
CAKE,21.69,Call,25.00,08/21/20,42,1.15,1.2,1.25,1.20,3867,4045,0.96,79.67%,07/10/20
AMRN,6.72,Call,8.00,08/21/20,42,0.31,0.32,0.32,0.31,703,4707,0.15,79.48%,07/10/20
SPG,63.98,Put,60.00,08/21/20,42,4.75,4.88,5.00,4.80,3264,4120,0.79,79.46%,07/10/20
SNAP,25.53,Call,35.00,08/21/20,42,0.48,0.5,0.51,0.48,716,1496,0.48,79.34%,07/10/20
HIMX,3.88,Call,5.00,08/21/20,42,0.10,0.15,0.20,0.11,625,282,2.22,79.19%,07/10/20
X,7.36,Call,15.00,01/15/21,189,0.26,0.28,0.29,0.30,892,14627,0.06,79.08%,07/10/20
BA,178.44,Call,200.00,07/31/20,21,5.85,6.1,6.35,6.00,2152,2904,0.74,78.72%,07/10/20
WYNN,74.13,Call,100.00,08/21/20,42,1.51,1.7,1.89,1.52,750,2155,0.35,78.71%,07/10/20
GLUU,10.38,Call,12.00,09/18/20,70,0.70,0.8,0.90,0.86,3033,1549,1.96,78.62%,07/10/20
HL,4.02,Call,3.50,01/15/21,189,1.07,1.12,1.17,1.13,659,17100,0.04,78.28%,07/10/20
HL,4.02,Call,4.00,01/15/21,189,0.81,0.91,1.01,0.91,697,3789,0.18,78.26%,07/10/20
ROKU,153.05,Call,175.00,07/31/20,21,4.25,4.4,4.55,4.30,563,229,2.46,78.23%,07/10/20
DAL,27.09,Put,20.00,01/15/21,189,2.08,2.49,2.90,2.33,557,14825,0.04,78.17%,07/10/20
NKLA,54.24,Call,60.00,08/21/20,42,3.50,3.6,3.70,3.60,921,5071,0.18,78.16%,07/10/20
BA,178.44,Call,250.00,08/21/20,42,2.72,2.85,2.98,2.72,1867,5501,0.34,78.16%,07/10/20
LB,15.93,Call,19.00,08/21/20,42,0.35,0.58,0.80,0.70,527,627,0.84,78.05%,07/10/20
CLDR,12.4,Put,12.50,08/21/20,42,1.34,1.37,1.40,1.35,592,2247,0.26,77.99%,07/10/20
HL,4.02,Call,2.00,01/15/21,189,1.57,1.9,2.22,2.11,2942,6090,0.48,77.76%,07/10/20
LYFT,30.7,Call,42.50,08/21/20,42,0.43,0.46,0.50,0.50,540,907,0.6,77.67%,07/10/20
WYNN,74.13,Call,80.00,09/18/20,70,7.65,7.78,7.90,7.80,692,1683,0.41,77.67%,07/10/20
FEYE,12.73,Call,13.00,07/31/20,21,0.80,0.83,0.86,0.83,723,3422,0.21,77.67%,07/10/20
SQ,128.05,Put,80.00,09/18/20,70,1.00,1.35,1.69,1.27,1052,5707,0.18,77.60%,07/10/20
AGNC,12.71,Put,3.00,01/21/22,560,0.00,0.78,1.55,0.15,1400,1592,0.88,77.58%,07/10/20
YPF,6.3,Put,5.50,08/07/20,28,0.10,0.28,0.45,0.20,1084,699,1.55,77.55%,07/10/20
NAT,4.4,Call,4.50,08/21/20,42,0.42,0.43,0.44,0.42,3534,755,4.68,77.51%,07/10/20
NAT,4.4,Call,5.00,08/21/20,42,0.24,0.25,0.25,0.25,1469,2535,0.58,77.47%,07/10/20
IVR,3.31,Call,5.00,01/15/21,189,0.30,0.32,0.35,0.30,2631,58944,0.04,77.31%,07/10/20
NOK,4.12,Call,5.00,08/21/20,42,0.15,0.16,0.16,0.16,1357,13781,0.1,77.30%,07/10/20
PE,10.44,Put,10.00,08/21/20,42,0.80,0.88,0.95,0.85,723,1311,0.55,77.09%,07/10/20
ROKU,153.05,Call,170.00,07/31/20,21,5.00,5.23,5.45,5.30,766,205,3.74,76.95%,07/10/20
WPX,5.44,Call,6.00,01/15/21,189,1.00,1.05,1.10,1.00,10695,10370,1.03,76.95%,07/10/20
AMBC,13.39,Call,15.00,11/20/20,133,1.85,2.18,2.50,1.90,517,664,0.78,76.91%,07/10/20
SPG,63.98,Put,45.00,01/15/21,189,4.15,4.38,4.60,4.50,620,920,0.67,76.79%,07/10/20
TLRY,8.01,Call,7.00,08/21/20,42,1.37,1.39,1.40,1.39,949,2206,0.43,76.70%,07/10/20
AG,10.41,Call,20.00,10/16/20,98,0.12,0.14,0.15,0.12,521,1909,0.27,76.57%,07/10/20
IVR,3.31,Call,4.00,01/15/21,189,0.45,0.48,0.50,0.50,895,69010,0.01,76.48%,07/10/20
WYNN,74.13,Call,110.00,09/18/20,70,1.84,1.9,1.95,1.78,2586,1045,2.47,76.45%,07/10/20
SOGO,5.5,Call,5.00,01/15/21,189,1.35,1.43,1.50,1.42,1166,4410,0.26,76.43%,07/10/20
MPC,36.2,Put,30.00,08/21/20,42,1.01,1.13,1.25,1.15,1276,666,1.92,76.36%,07/10/20
VICI,19.96,Put,15.00,08/21/20,42,0.25,0.33,0.40,0.30,569,3015,0.19,76.33%,07/10/20
HPQ,16.99,Put,12.00,08/21/20,42,0.04,0.1,0.15,0.15,1500,1753,0.86,76.25%,07/10/20
BA,178.44,Call,180.00,07/31/20,21,11.70,12.4,13.10,12.35,1165,934,1.25,76.22%,07/10/20
SPG,63.98,Put,55.00,10/16/20,98,4.80,5.28,5.75,5.40,1003,2133,0.47,76.19%,07/10/20
HAL,12.06,Put,7.50,01/15/21,189,0.48,0.55,0.63,0.53,11131,15235,0.73,76.18%,07/10/20
QRTEA,9.61,Call,10.00,08/21/20,42,0.75,0.82,0.89,0.83,520,413,1.26,76.12%,07/10/20
BA,178.44,Call,190.00,07/31/20,21,8.00,8.45,8.90,8.45,745,899,0.83,76.12%,07/10/20
ROKU,153.05,Call,155.00,07/31/20,21,9.10,9.6,10.10,10.30,510,346,1.47,76.07%,07/10/20
WYNN,74.13,Call,100.00,09/18/20,70,2.92,2.94,2.95,2.90,6993,2760,2.53,76.07%,07/10/20
SFIX,28.27,Put,28.00,08/21/20,42,2.54,2.62,2.70,2.73,537,106,5.07,76.01%,07/10/20
CCL,16.16,Call,40.00,01/21/22,560,1.92,2.01,2.10,2.06,1042,22602,0.05,76.01%,07/10/20
ROKU,153.05,Call,160.00,07/31/20,21,7.25,7.78,8.30,8.25,1000,402,2.49,75.84%,07/10/20
SKT,6.62,Call,8.00,08/21/20,42,0.17,0.25,0.32,0.25,548,497,1.1,75.47%,07/10/20
WYNN,74.13,Call,105.00,09/18/20,70,1.95,2.3,2.65,2.20,2935,5683,0.52,75.43%,07/10/20
HL,4.02,Call,4.00,07/31/20,21,0.20,0.38,0.56,0.30,2146,2248,0.95,75.27%,07/10/20
HAL,12.06,Put,25.00,01/15/21,189,12.50,13,13.50,13.15,551,10870,0.05,74.97%,07/10/20
LB,15.93,Call,19.00,09/18/20,70,0.81,1,1.18,1.07,513,7977,0.06,74.95%,07/10/20
PTON,68.47,Call,80.00,10/16/20,98,6.45,6.55,6.65,6.63,4561,1431,3.19,74.91%,07/10/20
BILI,47.55,Put,40.00,10/16/20,98,3.10,3.43,3.75,3.55,1201,3839,0.31,74.89%,07/10/20
LYV,46.44,Put,45.00,08/21/20,42,3.80,3.9,4.00,3.90,2822,587,4.81,74.86%,07/10/20
PTON,68.47,Call,75.00,10/16/20,98,7.85,8.02,8.20,8.15,610,2057,0.3,74.82%,07/10/20
F,6.1,Put,5.50,07/31/20,21,0.18,0.2,0.21,0.18,791,1841,0.43,74.76%,07/10/20
DKNG,32.43,Call,20.00,01/15/21,189,13.60,14.25,14.90,13.88,500,2678,0.19,74.74%,07/10/20
BA,178.44,Call,230.00,08/21/20,42,4.10,4.53,4.95,4.29,1844,1946,0.95,74.72%,07/10/20
SPG,63.98,Call,65.00,08/21/20,42,5.80,6.15,6.50,6.04,1769,1204,1.47,74.62%,07/10/20
CHGG,75.02,Put,65.00,08/21/20,42,3.00,3.25,3.50,3.10,1537,1640,0.94,74.60%,07/10/20
BILI,47.55,Call,55.00,08/21/20,42,2.04,2.17,2.30,2.28,736,1420,0.52,74.55%,07/10/20
BA,178.44,Call,300.00,10/16/20,98,3.60,3.73,3.85,3.70,761,2511,0.3,74.47%,07/10/20
NRZ,6.82,Call,8.00,08/21/20,42,0.29,0.3,0.30,0.30,584,6780,0.09,74.44%,07/10/20
PCG,9.09,Call,11.00,07/31/20,21,0.13,0.14,0.14,0.13,5591,69129,0.08,74.23%,07/10/20
PCG,9.09,Call,12.00,08/21/20,42,0.17,0.18,0.18,0.18,1356,56984,0.02,74.17%,07/10/20
SNAP,25.53,Call,30.00,08/21/20,42,1.12,1.15,1.18,1.10,2713,7939,0.34,74.07%,07/10/20
SPG,63.98,Put,45.00,01/21/22,560,9.55,10.68,11.80,10.55,510,339,1.5,73.90%,07/10/20
PCG,9.09,Call,11.00,08/14/20,35,0.23,0.27,0.31,0.26,646,330,1.96,73.83%,07/10/20
NKLA,54.24,Call,55.00,07/31/20,21,3.30,3.45,3.60,3.50,802,1742,0.46,73.75%,07/10/20
NET,40.08,Call,50.00,01/15/21,189,5.10,5.25,5.40,5.31,628,714,0.88,73.53%,07/10/20
SNAP,25.53,Call,25.00,08/21/20,42,2.79,2.82,2.84,2.80,2666,8004,0.33,73.53%,07/10/20
AMD,55.88,Call,60.00,07/31/20,21,2.20,2.28,2.35,2.35,4133,8816,0.47,73.50%,07/10/20
BBD,4.14,Put,5.00,08/21/20,42,0.91,0.92,0.93,1.00,700,664,1.05,73.47%,07/10/20
NAT,4.4,Call,6.00,10/16/20,98,0.20,0.23,0.25,0.23,622,5469,0.11,73.46%,07/10/20
HAL,12.06,Put,11.00,10/16/20,98,1.18,1.21,1.25,1.24,2483,2142,1.16,73.39%,07/10/20
EXK,2.61,Put,2.50,08/21/20,42,0.20,0.25,0.30,0.20,2659,547,4.86,73.38%,07/10/20
PCG,9.09,Put,7.00,10/16/20,98,0.36,0.4,0.44,0.43,1254,1267,0.99,73.32%,07/10/20
AEO,10.66,Call,12.00,11/20/20,133,1.35,1.38,1.40,1.40,581,11580,0.05,73.25%,07/10/20
AMD,55.88,Call,64.00,07/31/20,21,1.34,1.51,1.68,1.33,892,1224,0.73,73.19%,07/10/20
TLRY,8.01,Call,10.00,01/15/21,189,1.00,1.05,1.10,1.05,913,19935,0.05,73.12%,07/10/20
SNAP,25.53,Call,28.00,08/21/20,42,1.64,1.65,1.67,1.60,1207,4662,0.26,73.12%,07/10/20
PTON,68.47,Call,70.00,01/15/21,189,13.50,13.73,13.95,13.77,1280,1475,0.87,72.97%,07/10/20
CHGG,75.02,Call,85.00,08/21/20,42,4.00,4.05,4.10,3.90,1244,408,3.05,72.96%,07/10/20
PCG,9.09,Call,13.00,09/18/20,70,0.13,0.19,0.24,0.23,2328,14125,0.16,72.90%,07/10/20
SQ,128.05,Call,150.00,08/21/20,42,5.30,5.35,5.40,5.40,1148,2289,0.5,72.61%,07/10/20
ROKU,153.05,Call,150.00,07/31/20,21,11.30,11.88,12.45,12.15,568,1264,0.45,72.48%,07/10/20
EOG,45.4,Put,25.00,01/15/21,189,0.96,1.13,1.30,1.04,586,492,1.19,72.31%,07/10/20
BA,178.44,Put,140.00,08/21/20,42,2.84,3.27,3.70,3.24,1293,3825,0.34,72.30%,07/10/20
PINS,26.56,Call,30.00,07/31/20,21,0.60,0.66,0.72,0.70,773,1880,0.41,72.29%,07/10/20
AMD,55.88,Call,58.00,07/31/20,21,2.80,3.13,3.45,2.98,1255,1602,0.78,72.27%,07/10/20
PINS,26.56,Call,30.00,08/21/20,42,1.35,1.38,1.41,1.38,701,6115,0.11,72.19%,07/10/20
PTON,68.47,Put,35.00,01/21/22,560,5.10,5.18,5.25,5.15,2788,506,5.51,72.19%,07/10/20
PD,28.22,Call,30.00,08/21/20,42,2.05,2.18,2.30,2.05,557,1774,0.31,72.17%,07/10/20
COUP,308.28,Put,240.00,07/31/20,21,0.80,1.33,1.85,1.53,750,794,0.94,72.08%,07/10/20
CHGG,75.02,Call,75.00,08/21/20,42,7.30,7.4,7.50,7.35,683,1256,0.54,71.97%,07/10/20
F,6.1,Call,6.00,07/31/20,21,0.45,0.48,0.50,0.47,1161,3655,0.32,71.91%,07/10/20
HAL,12.06,Put,10.00,01/15/21,189,1.22,1.29,1.35,1.33,2474,4623,0.54,71.81%,07/10/20
AA,11.41,Call,15.00,08/21/20,42,0.18,0.2,0.22,0.21,1555,13112,0.12,71.77%,07/10/20
CHGG,75.02,Call,80.00,08/21/20,42,5.30,5.4,5.50,5.30,637,1556,0.41,71.56%,07/10/20
PCG,9.09,Call,11.00,08/21/20,42,0.28,0.31,0.33,0.30,3785,8470,0.45,71.46%,07/10/20
SPG,63.98,Call,100.00,10/16/20,98,1.45,1.62,1.79,1.65,576,2564,0.22,71.44%,07/10/20
EXPE,83.54,Put,85.00,08/21/20,42,8.25,8.55,8.85,8.79,1656,518,3.2,71.32%,07/10/20
BILI,47.55,Call,50.00,08/21/20,42,3.55,3.6,3.65,3.60,2086,5450,0.38,71.32%,07/10/20
LYFT,30.7,Put,30.00,01/15/21,189,5.45,5.53,5.60,5.65,623,8701,0.07,70.93%,07/10/20
BA,178.44,Put,150.00,08/21/20,42,4.90,5.15,5.40,5.32,616,2765,0.22,70.83%,07/10/20
CGC,17.42,Call,20.00,08/21/20,42,0.78,0.8,0.81,0.79,1405,5544,0.25,70.72%,07/10/20
PCG,9.09,Put,9.00,08/21/20,42,0.76,0.8,0.84,0.81,839,5390,0.16,70.55%,07/10/20
UBER,33.14,Put,26.00,08/21/20,42,0.52,0.55,0.59,0.56,1573,1238,1.27,70.55%,07/10/20
BA,178.44,Call,200.00,08/21/20,42,9.00,9.2,9.40,9.32,884,5355,0.17,70.53%,07/10/20
LRN,33.93,Call,10.00,12/18/20,161,24.10,24.45,24.80,24.00,500,1200,0.42,70.52%,07/10/20
EXPE,83.54,Call,85.00,08/21/20,42,7.10,7.3,7.50,7.35,1790,4546,0.39,70.35%,07/10/20
PTON,68.47,Put,60.00,01/21/22,560,16.35,16.63,16.90,16.90,1005,2442,0.41,70.33%,07/10/20
ON,20.49,Call,20.00,08/21/20,42,2.10,2.15,2.20,2.19,1342,2638,0.51,70.25%,07/10/20
HTGC,10.15,Put,7.50,10/16/20,98,0.25,0.35,0.45,0.35,970,1177,0.82,70.19%,07/10/20
CHWY,48.55,Put,40.00,07/31/20,21,0.23,0.34,0.44,0.45,518,528,0.98,69.97%,07/10/20
DB,10.1,Put,7.00,10/16/20,98,0.20,0.24,0.28,0.24,596,2283,0.26,69.87%,07/10/20
BA,178.44,Put,180.00,08/21/20,42,17.20,17.88,18.55,17.54,20128,1633,12.33,69.86%,07/10/20
DAL,27.09,Call,36.00,12/18/20,161,2.25,2.39,2.53,2.40,616,670,0.92,69.85%,07/10/20
BA,178.44,Put,160.00,08/21/20,42,7.95,8.55,9.15,8.30,1394,3240,0.43,69.84%,07/10/20
SQ,128.05,Call,130.00,08/21/20,42,11.10,11.45,11.80,11.30,723,2487,0.29,69.83%,07/10/20
AMD,55.88,Call,57.00,07/31/20,21,3.20,3.23,3.25,3.25,4298,1625,2.64,69.80%,07/10/20
XRX,15.49,Put,14.00,08/21/20,42,0.75,0.78,0.80,0.76,660,4065,0.16,69.77%,07/10/20
CLDR,12.4,Call,15.00,01/15/21,189,1.36,1.51,1.66,1.63,1027,4823,0.21,69.74%,07/10/20
F,6.1,Call,6.00,08/07/20,28,0.50,0.52,0.54,0.52,593,1478,0.4,69.71%,07/10/20
BA,178.44,Call,180.00,08/21/20,42,15.95,16.08,16.20,16.20,21142,4070,5.19,69.63%,07/10/20
